Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u/25V,
C2,0805,1,100n,
C3,0805,1,100n,
C4,0805,1,100n,
D1,D_SMA_Handsoldering,1,BYG10J (J/K/M/Y),
D2,D_SMA_Handsoldering,1,SMAZ20-13-F,
"D3, D4, D5, D6, D7, D8",D_SMA_Handsoldering,6,SS13A,
"H1, H2",MountingHole_3.7mm_Pad_Via,2,MountingHole,
J1,HB-9500-4P,1,MAINS,
J2,DG301-5.0-02,1,PWM,
"Q1, Q2",TO-263-2,2,WMM38N60C2,
R1,1206,1,100k (250mW min.),
R10,0805,1,20k,
R11,0805,1,100k,
R12,0805,1,100k,
R13,0805,1,1M,
R14,0805,1,3R9,
R2,0805,1,1M,
R3,0805,1,220k,
R4,0805,1,220k,
R5,0805,1,1M,
R6,0805,1,1M,
R7,0805,1,82k,
R8,0805,1,100k,
R9,0805,1,270,
TP1,TestPoint_Pad_D2.0mm,1,SQUARE,
TP2,TestPoint_Pad_D2.0mm,1,VCC,
TP3,TestPoint_Pad_D2.0mm,1,THD,
TP4,TestPoint_Pad_D2.0mm,1,SAW+,
TP5,TestPoint_Pad_D2.0mm,1,SAW-,
TP6,TestPoint_Pad_D2.0mm,1,SAW,
TP7,TestPoint_Pad_D2.0mm,1,COMP,
TP8,TestPoint_Pad_D2.0mm,1,GATE,
TP9,TestPoint_Pad_D2.0mm,1,GND,
U1,SOIC-14_3.9x8.7mm_P1.27mm,1,LM324,
U2,SMDIP-4_W9.53mm,1,LTV-817S,
