Designator,Mid X,Mid Y,Rotation,Layer
C1,114.0,-89.0,270.0,top
C2,117.0,-79.0,270.0,top
C3,117.0,-91.0,270.0,top
C4,144.0,-80.0,90.0,top
D1,105.0,-86.0,270.0,top
D2,105.0,-76.0,90.0,top
D3,110.0,-86.0,270.0,top
D4,110.0,-76.0,270.0,top
D5,123.0,-73.0,0.0,top
D6,123.0,-85.0,0.0,top
D7,123.0,-79.0,180.0,top
D8,123.0,-91.0,180.0,top
J1,115.75,-132.8,0.0,top
J2,153.5,-84.5,90.0,top
Q1,142.65,-108.46,0.0,top
Q2,117.35,-118.46,180.0,top
R1,107.0,-94.0,180.0,top
R10,138.0,-91.0,90.0,top
R11,147.0,-85.0,270.0,top
R12,147.0,-80.0,270.0,top
R13,137.0,-76.5,180.0,top
R14,135.0,-91.0,270.0,top
R2,114.0,-79.0,90.0,top
R3,117.0,-73.0,270.0,top
R4,117.0,-85.0,270.0,top
R5,129.0,-79.0,270.0,top
R6,129.0,-91.0,270.0,top
R7,144.0,-85.0,270.0,top
R8,141.0,-91.0,270.0,top
R9,158.0,-91.0,270.0,top
U1,137.0,-83.0,0.0,top
U2,150.0,-91.0,180.0,top
